loss,accuracy,val_loss,val_accuracy
0.6893728971481323,0.5410000085830688,0.6844072937965393,0.5490000247955322
0.673060417175293,0.5910000205039978,0.6569608449935913,0.5979999899864197
0.6519805192947388,0.6200000047683716,0.687501847743988,0.5699999928474426
0.6275533437728882,0.6445000171661377,0.6148576140403748,0.6650000214576721
0.5916805863380432,0.6970000267028809,0.5840557217597961,0.6970000267028809
0.5546720027923584,0.7135000228881836,0.5856857299804688,0.6949999928474426
0.5392821431159973,0.7195000052452087,0.5630350708961487,0.7160000205039978
0.5167749524116516,0.746999979019165,0.6415847539901733,0.6600000262260437
0.49552270770072937,0.7509999871253967,0.5486436486244202,0.7170000076293945
0.4759991466999054,0.7789999842643738,0.555631160736084,0.7170000076293945
0.4563468098640442,0.7804999947547913,0.5559840798377991,0.718999981880188
0.43580999970436096,0.7929999828338623,0.5538629293441772,0.7300000190734863
0.41455942392349243,0.8125,0.5939348936080933,0.7080000042915344
0.3953760862350464,0.8190000057220459,0.5425190925598145,0.7350000143051147
0.3776463270187378,0.8355000019073486,0.6079525351524353,0.7160000205039978
0.353730171918869,0.8339999914169312,0.5207650065422058,0.7419999837875366
0.3298238515853882,0.8585000038146973,0.5322546362876892,0.7419999837875366
0.3191702961921692,0.8634999990463257,0.5480093955993652,0.7419999837875366
0.29243871569633484,0.8820000290870667,0.5392683148384094,0.7519999742507935
0.2742111384868622,0.8895000219345093,0.5489857196807861,0.7540000081062317
0.2584499716758728,0.8999999761581421,0.6174330711364746,0.7179999947547913
0.2307443916797638,0.9135000109672546,0.5945888161659241,0.7379999756813049
0.22135597467422485,0.9135000109672546,0.5938952565193176,0.7350000143051147
0.19608089327812195,0.9269999861717224,0.565950870513916,0.765999972820282
0.16910570859909058,0.9394999742507935,0.7870864868164062,0.7099999785423279
0.1638612598180771,0.9390000104904175,0.6218774318695068,0.7480000257492065
0.1517535001039505,0.9474999904632568,0.6140872240066528,0.7490000128746033
0.12703166902065277,0.9614999890327454,0.630114734172821,0.7620000243186951
0.1127668246626854,0.9635000228881836,0.662543535232544,0.7580000162124634
0.10764167457818985,0.9649999737739563,0.7866753339767456,0.7210000157356262
